"","id_student","dataplus","dualpane","forumng","glossary","homepage","htmlactivity","oucollaborate","oucontent","ouwiki","page","questionnaire","quiz","repeatactivity","resource","subpage","url","CMA","TMA","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","date_registration.x","date_unregistration.x","date_registration.y","date_unregistration.y"
"1",31296,NA,NA,1.57142857142857,NA,2.80952380952381,NA,NA,7.63461538461539,1,NA,NA,13.1904761904762,NA,1.1,2.32394366197183,1.83333333333333,75,53.6,"M","East Midlands Region","Lower Than A Level","30-40%","0-35",1,60,"N","Fail",-20,NA,-20,NA
"2",35747,NA,NA,4.55555555555556,NA,4.61904761904762,1.25,1,6.7741935483871,2,NA,1.66666666666667,1,NA,1.33333333333333,1.97619047619048,1.9,NA,54,"M","North Western Region","A Level or Equivalent","0-10%","35-55",0,120,"N","Withdrawn",-15,12,-15,12
"3",35796,NA,NA,2.62790697674419,NA,3.80645161290323,1.33333333333333,NA,5.5,NA,2,NA,4.66666666666667,NA,1,1.95744680851064,1,NA,82,"M","Wales","A Level or Equivalent","20-30%","0-35",0,60,"N","Fail",-66,NA,-66,NA
"4",40857,NA,NA,2.375,NA,4.94117647058824,2,NA,2.65217391304348,1,1,NA,2.2,NA,1.14285714285714,1.88095238095238,1,NA,86,"F","North Western Region","A Level or Equivalent","30-40%","0-35",0,120,"Y","Withdrawn",-89,108,-89,108
"5",40878,2,NA,2.65714285714286,NA,3.84883720930233,1.33333333333333,1,6.07643312101911,3,1.22222222222222,1.33333333333333,7.11538461538461,NA,1.04761904761905,1.94285714285714,1.28571428571429,91.8571428571429,88.8,"M","North Western Region","Lower Than A Level","0-10%","0-35",0,120,"N","Distinction",-86,NA,-86,NA
"6",42552,3.5,1,2.36086956521739,3.8,6.62773722627737,1.83333333333333,2.44444444444444,5.78909090909091,2.95238095238095,1.14285714285714,1.41666666666667,9.85606060606061,NA,1.8974358974359,1.93073593073593,1.19298245614035,68.7142857142857,74.2,"F","East Anglian Region","A Level or Equivalent","80-90%","0-35",0,90,"N","Pass",-150,NA,-150,NA
"7",43958,NA,NA,1.74789915966387,NA,3.43478260869565,1,NA,5.64179104477612,4.25,NA,NA,10.5454545454545,NA,1.33333333333333,1.66233766233766,1.25,90.3333333333333,90,"M","Wales","A Level or Equivalent","90-100%","35-55",1,60,"N","Fail",-115,NA,-115,NA
"8",45423,3.5,NA,4.77272727272727,NA,6.4375,1.44444444444444,1,9.10050251256281,2.79166666666667,1.7,1.25,12.6885245901639,NA,2.30555555555556,2.66517857142857,1.35555555555556,69.7142857142857,54.4,"M","South West Region","Lower Than A Level","70-80%","35-55",0,60,"N","Fail",-31,NA,-31,NA
"9",47861,6.66666666666667,NA,4.68933823529412,1,11.055,1.44444444444444,2.0625,5.76524390243902,2.26086956521739,1,1,11.8144329896907,NA,1.66666666666667,1.85185185185185,1.64102564102564,53.2857142857143,53.4,"M","South East Region","A Level or Equivalent","50-60%","0-35",0,60,"Y","Pass",-103,NA,-103,NA
"10",52275,NA,NA,5,NA,4.6,1,NA,4.7,NA,NA,NA,NA,NA,1,1.125,NA,NA,38,"M","London Region","No Formal quals","0-10%","0-35",0,90,"N","Fail",-136,NA,-136,NA
"11",56637,3.28571428571429,3,3.90427698574338,NA,7.10909090909091,1,1.51515151515152,4.92490118577075,2.15384615384615,1,1.09375,6.59090909090909,NA,1.03703703703704,1.77348066298343,1.13636363636364,83.8571428571429,90.8,"M","East Midlands Region","Lower Than A Level","50-60%","0-35",0,90,"Y","Distinction",-99,NA,-99,NA
"12",56667,2,NA,2.6,NA,2.65217391304348,NA,NA,3.20454545454545,2,NA,NA,15.5833333333333,NA,1.05555555555556,1.61290322580645,2,68.8571428571429,64.75,"M","Yorkshire Region","Lower Than A Level","40-50%","35-55",2,120,"N","Fail",-46,NA,-46,NA
"13",58884,3.44444444444444,2,2.94533762057878,NA,5.17514124293785,1,2,6.9478527607362,2.33333333333333,1.13333333333333,1.05714285714286,5.75903614457831,NA,1.07142857142857,1.66393442622951,1.56962025316456,88.8571428571429,91.2,"M","South Region","A Level or Equivalent","40-50%","35-55",0,90,"Y","Distinction",-50,NA,-50,NA
"14",63112,NA,NA,5.26086956521739,NA,4.15,2,3,5.37037037037037,1,1,NA,NA,NA,1.76,1.76470588235294,1,NA,49.3333333333333,"M","South East Region","Lower Than A Level","80-90%","35-55",0,60,"N","Withdrawn",-150,130,-150,130
"15",64427,2.7,1,2.48936170212766,NA,3.50273224043716,1.66666666666667,1,9.60789473684211,2.6,1.07142857142857,1.05882352941176,9.65454545454545,NA,1.825,2.00420168067227,1.22222222222222,91.4285714285714,83.8,"M","London Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Distinction",-78,NA,-78,NA
"16",66892,NA,NA,2.16666666666667,NA,3.57142857142857,NA,1,3.97297297297297,NA,1,NA,NA,NA,1.33333333333333,1.79487179487179,1,NA,66,"M","London Region","A Level or Equivalent","20-30%","0-35",1,60,"N","Withdrawn",-17,72,-17,72
"17",69439,NA,NA,2.38461538461538,NA,4.15384615384615,1,2,2,NA,NA,1.5,14,NA,1.33333333333333,1.21739130434783,1,75,64,"M","East Midlands Region","Lower Than A Level","80-90%","0-35",0,90,"N","Withdrawn",-24,12,-24,12
